iter	Passed	Remaining
871	1691	248
872	1693	246
873	1694	244
874	1696	242
875	1698	240
876	1699	238
877	1701	236
878	1702	234
879	1703	232
880	1705	230
881	1706	228
882	1708	226
883	1709	224
884	1711	222
885	1713	220
886	1715	218
887	1716	216
888	1718	214
889	1720	212
890	1721	210
891	1724	208
892	1725	206
893	1728	204
894	1729	202
895	1731	200
896	1733	199
897	1734	197
898	1736	195
899	1738	193
900	1740	191
901	1741	189
902	1743	187
903	1744	185
904	1746	183
905	1747	181
906	1749	179
907	1751	177
908	1752	175
909	1754	173
910	1756	171
911	1757	169
912	1760	167
913	1762	165
914	1763	163
915	1764	161
916	1766	159
917	1768	157
918	1769	155
919	1771	154
920	1773	152
921	1775	150
922	1777	148
923	1778	146
924	1780	144
925	1783	142
926	1785	140
927	1786	138
928	1788	136
929	1790	134
930	1793	132
931	1794	130
932	1796	129
933	1798	127
934	1799	125
935	1801	123
936	1803	121
937	1805	119
938	1806	117
939	1809	115
940	1811	113
941	1813	111
942	1814	109
943	1816	107
944	1817	105
945	1819	103
946	1821	101
947	1822	99
948	1824	98
949	1826	96
950	1828	94
951	1829	92
952	1830	90
953	1832	88
954	1833	86
955	1835	84
956	1836	82
957	1838	80
958	1839	78
959	1841	76
960	1842	74
961	1844	72
962	1845	70
963	1847	68
964	1848	67
965	1850	65
966	1851	63
967	1853	61
968	1854	59
969	1855	57
970	1857	55
971	1859	53
972	1860	51
973	1862	49
974	1863	47
975	1864	45
976	1866	43
977	1868	42
978	1869	40
979	1870	38
980	1872	36
981	1873	34
982	1874	32
983	1876	30
984	1877	28
985	1879	26
986	1881	24
987	1882	22
988	1883	20
989	1885	19
990	1886	17
991	1888	15
992	1889	13
993	1891	11
994	1892	9
995	1894	7
996	1895	5
997	1896	3
998	1897	1
999	1899	0
